sub_begin_time|sub_end_time|text|class
00:07:35|00:07:38|is called the Sun Does Shine, by Anthony Ray Hinton,|A
00:07:38|00:07:39|who was wrongly convicted of murder|A
00:07:39|00:07:41|and served on death row for decades.|A
00:07:41|00:07:44|Anthony Ray Hinton is an amazing writer|A
00:07:44|00:07:45|and it's told from his perspective|A
00:07:45|00:07:47|from many years living on death row.|A
00:07:47|00:07:50|This has changed the way I look at the world|A
00:07:50|00:07:52|and I want you to listen to this book.|A
00:07:52|00:07:53|I gotta go to the airport.|A
00:07:53|00:07:56|(thudding)|A
00:07:59|00:08:00|All right, let's go.|A
00:08:00|00:08:01|My wife books my seats.|A
00:08:01|00:08:03|Thank you very much wife.|A
00:08:03|00:08:06|(engine roaring)|A
00:08:10|00:08:11|- [Anthony Ray Hinton] If I could put my heart|A
00:08:11|00:08:15|in the judges heart, he would know I didn't do it.|A
00:08:15|00:08:16|- So one thing I really like about the app|A
00:08:16|00:08:18|is you can click this little Clip button right here|A
00:08:18|00:08:20|and you can add a note in the book|A
00:08:20|00:08:22|and you can go back and listen to it later|A
00:08:22|00:08:24|and you can bring back all those thoughts and memories|A
00:08:24|00:08:27|and think more deeply about the subject at hand.|A
00:08:27|00:08:28|It's a really cool feature.|A
00:08:28|00:08:30|(engine humming)|A
00:08:32|00:08:35|You can get a free audio book and two Audible originals|A
00:08:35|00:08:37|by going to audible.com/smarter|A
00:08:37|00:08:41|or texting the word, Smarter, to 500-500.|A
00:08:41|00:08:43|You're gonna enjoy audio books.|A
00:08:43|00:08:44|I get smarter when I travel.|A
00:08:44|00:08:47|This is time that feels that I'm kinda wasting it,|A
00:08:47|00:08:49|but when you're listening to audio books, you get smarter.|A
00:08:49|00:08:51|So, again, text Smarter to 500-500|A
00:08:51|00:08:54|or go to audible.com/smarter. (beep)|A
00:08:54|00:08:57|If you wanna see just the tripod shot,|NA
00:08:57|00:08:59|and that being sped up, go check out that video|NA
00:08:59|00:09:01|I'm putting over on the second channel.|NA
00:09:01|00:09:02|I think you'll like that.|NA
00:09:02|00:09:05|Thank you if you decided to actually watch this video|NA
00:09:05|00:09:07|and learn about these principals with me,|NA
00:09:07|00:09:08|instead of just watching a GIF on the internet|NA
00:09:08|00:09:11|and not, like, diving into the science of what's going on.|NA
00:09:11|00:09:12|So thank you.|NA
00:09:12|00:09:14|If you're interested in subscribing to Smarter Every Day,|NA
00:09:14|00:09:16|like if you feel like this kinda content earns it,|NA
00:09:16|00:09:17|then thanks, that'd be awesome.|NA
00:09:17|00:09:19|Feel free to ring the bell, if that's what you're into.|NA
00:09:19|00:09:21|If you're not into that, no big deal,|NA
00:09:21|00:09:22|but I'm just happy that you're here.|NA
00:09:22|00:09:24|Thanks for doing this with me.|NA
00:09:24|00:09:25|Let's do it one more time, and,|NA
00:09:27|00:09:30|boom, (laughs) that's awesome.|NA
00:09:31|00:09:32|Dude, that works well!|NA
